batch_id,bird_weight_lbs,bird_age_days,feed_quality_score,processing_line,actual_yield_pct,bone_weight_lbs,meat_weight_lbs
1,6.247042737710109,44.97446517507686,0.8970035975048083,Line B,69.95809010774889,1.8767309501932883,4.370311787516821
2,5.675562128945933,46.56644398785345,0.8170806060325444,Line C,71.71914924845838,1.6050972549982174,4.070464873947715
3,6.3829196842906235,44.622740237000116,0.9944922780055805,Line A,73.35138004989074,1.7009600083873224,4.681959675903301
4,7.170726870767223,46.07611541108288,0.9036020862752197,Line B,74.67004386402323,1.8163419709960373,5.354384899771185
5,5.5892619627489974,41.319155999138644,0.9228372488638023,Line A,67.2208994985483,1.8321097960589057,3.757152166690092
6,5.589276738745737,47.639881122118815,0.8473219565415016,Line A,76.21727573250953,1.329282275322882,4.2599944634228555
7,7.221291533956652,47.00361642608667,0.8966996170213608,Line C,74.65693657181505,1.8300964937847846,5.391195040171867
8,6.490691256237618,44.54873410679543,0.8858298983916644,Line A,71.49776783232846,1.849991891139602,4.6406993650980155
9,5.377473052658543,48.977737005297215,0.8149791684003967,Line A,74.207042252401,1.3870093523607399,3.9904637002978025
10,6.288304039227368,49.812710412879674,0.8212320707094934,Line B,77.8527032940812,1.392689353337962,4.895614685889406
11,5.382924076468784,42.177320406893074,0.9674945039237549,Line A,67.19729974143729,1.7657444499500603,3.6171796265187237
12,5.380843221786769,44.71182566430136,0.8479639904413181,Line C,70.03869951037383,1.6121706065552155,3.7686726152315537
13,6.017766044409431,44.69257295063811,0.8389916542997261,Line C,66.18933696753476,2.034646599357385,3.9831194450520457
14,4.0780477798079815,44.1802906966734,0.9009822902500279,Line C,69.88476901906193,1.2281135084021904,2.8499342714057914
15,4.24757395073827,49.488424525795246,0.9537494262725026,Line A,72.75296458612151,1.1573379785883344,3.090235972149936
16,5.293941223683125,46.41852158368159,0.8123893037157977,Line B,70.84618390011262,1.5433858887887055,3.750555334894419
17,4.888451991699018,46.206455476068165,0.9153615839276512,Line C,69.72108456142811,1.4801702448217287,3.408281746877289
18,6.0828225993357465,40.98841290677974,0.8238420885681147,Line A,65.34180465264441,2.1081965391108763,3.97462606022487
19,4.98277833203091,48.90625409062768,0.8072922101651238,Line C,72.39225271952496,1.375632849453363,3.607145482577547
20,4.5289266687982375,43.282224815439584,0.8105487904324435,Line C,71.9596441812073,1.2699271527032212,3.2589995160950163
21,7.119083892029399,47.17979789079899,0.9668328216416883,Line B,72.27931346668468,1.9734589297532137,5.145624962276185
22,5.596801329562117,47.83213081387458,0.8235944967256124,Line C,72.66838573087388,1.5296961508052405,4.067105178756877
23,5.8607753842191315,51.08197578751595,0.8090302728824584,Line B,70.09027335995387,1.7529418964070556,4.107833487812076
24,4.517726632407888,43.073538802642666,0.8875799774285825,Line A,70.25592284151132,1.3437560953529946,3.1739705370548936
25,5.310055547927336,37.941463532537526,0.9687986943884049,Line C,67.54185872780958,1.7235453313780398,3.586510216549296
26,5.8998303307388795,47.55154863426108,0.8524816752978605,Line A,70.53805619357901,1.7382046967164702,4.16162563402241
27,4.764105780319928,52.40153354453256,0.8843425235051833,Line A,71.73288337716262,1.3466753369583704,3.417430443361557
28,6.138128216511104,50.71683905881831,0.8079845065127503,Line A,72.50993756523394,1.687375279044895,4.450752937466209
29,5.259425179073075,47.62897824582388,0.8898157028269752,Line C,72.53307658710797,1.444602285894361,3.814822893178714
30,5.537475625186051,45.52509144310386,0.9155226161274268,Line B,68.65330375563649,1.7358156638327409,3.80165996135331
31,5.258464048993543,49.42136778991193,0.914181410750429,Line C,71.81199474577605,1.4822561224217776,3.776207926571765
32,7.467050366058044,44.0793614008866,0.8664853384348731,Line A,71.91486798937714,2.097130952607099,5.369919413450945
33,5.78785249773586,48.42907330806866,0.8631066361326272,Line B,70.17936605301558,1.7259743067412054,4.061878190994654
34,4.84806016393969,48.51641047749988,0.8213247237873196,Line A,75.04496634443834,1.2098350455530276,3.638225118386662
35,6.54029042089287,50.18062972249664,0.8733596641292537,Line B,72.02429158623653,1.8296925775622925,4.710597843330577
36,4.7012407150260795,55.27898011673324,0.819898933774593,Line C,72.69320546032014,1.2837581428679479,3.4174825721581317
37,5.98797723550428,48.177247901536305,0.9533191889424103,Line B,70.931260994085,1.7406294743223434,4.247347761181937
38,4.036296888508202,45.4731091228775,0.9932548595496371,Line C,74.04151563198198,1.0477614968501994,2.9885353916580026
39,4.6046325559914125,46.92327706342402,0.9940148913333413,Line A,72.5889017840284,1.26218035240741,3.3424522035840027
40,5.977175112282211,41.692772285332644,0.9730142198750787,Line B,68.51073609084695,1.8821684454187608,4.09500666686345
41,6.464619921995869,44.91586060673283,0.9201584298679238,Line A,74.01129544734938,1.6800709719792994,4.784548950016569
42,5.954231453070974,45.772152685660686,0.940173139448776,Line B,72.2345093225427,1.6532215790166511,4.301009874054323
43,5.695916545850583,45.42773480619622,0.8570411605360828,Line C,71.58753980406237,1.6183500213836224,4.0775665244669606
44,5.52900667396964,47.457064616101164,0.9261540840345241,Line B,71.4078471882839,1.5808620371913817,3.948144636778258
45,4.469330208669315,44.5327402028534,0.8911299098879755,Line B,68.40537782360273,1.4120679932446578,3.0572622154246574
46,5.152140212444762,50.36309200197341,0.8964034679553865,Line C,73.48449850863132,1.3661158148681962,3.786024397576566
47,5.385425106136191,47.00062119475459,0.9515553120750316,Line C,70.83619066319477,1.570595109929999,3.814829996206192
48,6.751410003597024,46.972099036584154,0.8563836711194504,Line C,76.16539723225875,1.6091717555788954,5.142238248018129
49,6.109256460611615,46.01631585046125,0.863607922338904,Line B,69.1333889098821,1.885720432194889,4.223536028416726
50,4.213263860173539,47.465572051576935,0.9849283582257273,Line A,74.41379524560813,1.0780143181067965,3.1352495420667426
51,6.0916755724553155,49.475294794002906,0.8112448589701945,Line B,72.55704497282079,1.6717357877505736,4.4199397847047415
52,5.453425947625315,44.3986093528673,0.8971268596826681,Line B,71.26599026570273,1.5669879426433513,3.886438004981964
